Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,VIX,Bitcoin_TransactionFee,volatility,GoogleTrend,DowJones,EuroStoxx50,Nasdaq,OilWTI,SPX,TradePermin,Dominance,Gold,MCHI
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.4337192,177728,11346.326739,158080088.68331683,9.77,649.16497626,1.6160947082265231,53,"24,824.01","3,490.19",7006.9,60.37,2695.81,135.52152777777778,0.37838396133143,1312.05,69.129997
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,236116868.3361901,162787,8994.953566,133587333.24534808,9.15,749.68547259,1.6137623729858377,55,"24,922.68","3,509.88",7065.53,61.63,2713.06,112.59791666666666,0.37838396133143,1314.9,69.68
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,312781583.79830784,170310,12680.812951,186116793.0115893,9.22,778.26109477,1.6137780886668225,54,"25,075.13","3,568.88",7077.91,62.01,2723.99,124.01180555555555,0.37838396133143,1314.5,70.110001
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,369321956.4868375,192969,13346.622293,211829900.67898223,9.22,701.35602085,1.5808699478957084,52,"25,295.87","3,607.63",7136.56,61.44,2743.15,130.42152777777778,0.37838396133143,1317.15,70.610001
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,309216920.98641044,158242,11007.164056,183417769.0623772,9.52,694.47790564,1.378918687340573,49,"25,283.00","3,616.45",7157.39,61.73,2747.71,88.50625,0.37838396133143,1317.15,70.610001
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,206194706.37068352,120269,6779.320508,112151163.1274352,9.52,686.11400249,1.3839121922430222,46,"25,283.00","3,616.45",7157.39,61.73,2747.71,90.05902777777777,0.3557773640324717,1317.15,70.610001
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,396569997.15746266,208642,13756.844389,206049582.13668823,9.52,694.5264055,1.3840363630734869,52,"25,283.00","3,616.45",7157.39,61.73,2747.71,139.0236111111111,0.3557773640324717,1319.95,70.959999
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,210630187.45766863,156656,6841.233287,100698572.9000214,10.08,752.4182028,1.3889685819654372,49,"25,385.80","3,622.87",7163.58,62.96,2751.29,109.78263888888888,0.3557773640324717,1311.0,71.0
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,244011366.763028,161476,8529.554675,119570139.8064535,9.82,720.32570087,1.3354847642669896,51,"25,369.13","3,609.83",7153.57,63.57,2748.23,128.97986111111112,0.3557773640324717,1319.75,70.720001
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,446587594.6937379,239416,16422.01998,218762237.37910992,9.88,697.44083354,1.3898355245317393,56,"25,574.73","3,595.24",7211.78,63.8,2767.56,151.5048611111111,0.3557773640324717,1323.05,70.900002
