"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2023","39.1045","39.0403","39.1917","39.0403","","0.25%"
"09/23/2023","39.0052","39.4574","39.4574","38.6760","","-1.41%"
"09/22/2023","39.5629","42.5541","42.5882","39.5629","","-7.05%"
"09/21/2023","42.5650","43.6280","43.6280","42.5650","","-2.48%"
"09/20/2023","43.6469","43.4266","43.7969","43.4266","","0.56%"
"09/19/2023","43.4041","43.0455","43.4041","42.8347","","0.78%"
"09/18/2023","43.0672","40.9317","43.0805","40.9317","","5.35%"
"09/17/2023","40.8793","41.2211","41.2291","40.6878","","-0.86%"
"09/16/2023","41.2327","41.9309","41.9309","41.2327","","-1.83%"
"09/15/2023","42.0011","43.7448","43.7448","42.0011","","-4.12%"
"09/14/2023","43.8062","45.5143","45.7564","43.8062","","-3.75%"
"09/13/2023","45.5143","45.7776","45.7776","45.1850","","-0.60%"
"09/12/2023","45.7906","46.2594","46.3150","45.0230","","-1.01%"
"09/11/2023","46.2594","43.1869","46.2594","43.1869","","7.11%"
"09/10/2023","43.1869","42.0350","43.1869","41.9452","","2.74%"
"09/09/2023","42.0350","42.6572","42.6572","41.6923","","-1.46%"
"09/08/2023","42.6572","42.2887","42.6572","42.2887","","0.87%"
"09/07/2023","42.2887","42.0810","42.2887","41.6973","","0.49%"
"09/06/2023","42.0810","42.3881","42.3881","41.3376","","-0.72%"
"09/05/2023","42.3881","40.9124","42.7806","40.9124","","3.61%"
"09/04/2023","40.9124","40.2237","40.9124","40.2237","","1.89%"
"09/03/2023","40.1520","38.7966","40.1520","38.7559","","3.49%"
"09/02/2023","38.7966","39.6229","39.6229","38.7966","","-2.09%"
"09/01/2023","39.6229","40.2932","40.2932","39.0838","","-1.66%"
"08/31/2023","40.2932","41.6227","41.6227","40.1236","","-3.19%"
"08/30/2023","41.6227","43.5677","43.5677","41.6227","","-4.46%"
"08/29/2023","43.5677","41.1061","43.5889","40.6081","","5.99%"
"08/28/2023","41.1061","40.5956","41.1130","40.5910","","1.26%"
"08/27/2023","40.5956","40.5923","40.6281","40.4377","","0.01%"
"08/26/2023","40.5923","41.8699","41.8699","40.5923","","-3.05%"
"08/25/2023","41.8699","45.4437","45.4437","41.8699","","-7.86%"
"08/24/2023","45.4437","44.8061","45.5126","44.8061","","1.42%"
"08/23/2023","44.8061","46.1766","46.1766","44.0487","","-2.97%"
"08/22/2023","46.1766","45.6508","46.1766","45.1154","","1.15%"
"08/21/2023","45.6508","44.9380","45.7019","44.9380","","1.59%"
"08/20/2023","44.9380","44.9147","45.4997","44.3906","","0.05%"
"08/19/2023","44.9147","47.4544","47.4544","44.4510","","-5.35%"
"08/18/2023","47.4544","49.6027","51.0296","46.4604","","-4.33%"
"08/17/2023","49.6027","38.0511","49.6027","38.0511","","30.36%"
"08/16/2023","38.0511","36.9109","38.0511","36.5640","","3.09%"
"08/15/2023","36.9109","35.8867","37.0600","35.8867","","2.85%"
"08/14/2023","35.8867","35.8057","36.1256","35.4505","","0.23%"
"08/13/2023","35.8057","34.4978","35.8057","34.4978","","3.79%"
"08/12/2023","34.4978","36.0746","36.0746","34.4723","","-4.37%"
"08/11/2023","36.0746","38.9783","38.9783","36.0746","","-7.45%"
"08/10/2023","38.9783","41.1858","41.1858","38.9783","","-5.36%"
