Date,Price,Open,High,Low,Vol.,Change %
2018-01-01,60.24,60.26,60.28,60.15,,-0.30%
2018-01-02,60.37,60.2,60.74,60.1,510.31K,0.22%
2018-01-03,61.63,60.39,61.97,60.28,673.86K,2.09%
2018-01-04,62.01,61.96,62.21,61.59,654.36K,0.62%
2018-01-05,61.44,61.9,62.04,61.09,563.04K,-0.92%
2018-01-08,61.73,61.61,61.97,61.34,616.47K,0.47%
2018-01-09,62.96,61.92,63.48,61.8,844.72K,1.99%
2018-01-10,63.57,63.41,63.67,63.09,697.84K,0.97%
2018-01-11,63.8,63.5,64.77,63.43,876.64K,0.36%
2018-01-12,64.3,63.57,64.5,63.06,678.73K,0.78%
2018-01-14,64.28,64.42,64.44,64.19,,-0.03%
2018-01-15,64.73,64.28,64.89,64.11,,0.70%
2018-01-16,63.73,64.43,64.89,63.39,867.77K,-1.54%
2018-01-17,63.97,63.89,64.17,63.31,444.38K,0.38%
2018-01-18,63.95,64.07,64.35,63.47,204.50K,-0.03%
2018-01-19,63.37,63.74,63.77,62.85,142.71K,-0.91%
2018-01-22,63.49,63.61,64.14,63.17,40.06K,0.19%
2018-01-23,64.47,63.88,64.88,63.7,662.46K,1.54%
2018-01-24,65.61,64.42,66.05,64.34,887.02K,1.77%
2018-01-25,65.51,65.88,66.66,65.08,771.76K,-0.15%
2018-01-26,66.14,65.25,66.35,64.91,678.19K,0.96%
2018-01-29,65.56,66.18,66.46,64.98,656.17K,-0.88%
2018-01-30,64.5,65.53,65.56,63.89,688.38K,-1.62%
2018-01-31,64.73,64.03,64.94,63.67,613.26K,0.36%
2018-02-01,65.8,64.76,66.25,64.63,685.75K,1.65%
2018-02-02,65.45,65.99,66.3,64.47,857.57K,-0.53%
2018-02-05,64.15,65.1,65.4,63.42,891.06K,-1.99%
2018-02-06,63.39,63.43,64.29,63.12,797.81K,-1.18%
2018-02-07,61.79,63.92,64.18,61.25,1.03M,-2.52%
2018-02-08,61.15,61.7,62.09,60.27,929.58K,-1.04%
2018-02-09,59.2,60.43,60.77,58.07,933.31K,-3.19%
2018-02-12,59.29,59.12,60.83,59.1,736.92K,0.15%
2018-02-13,59.19,59.35,59.73,58.39,580.60K,-0.17%
2018-02-14,60.6,58.98,60.9,58.2,650.32K,2.38%
2018-02-15,61.34,60.71,61.64,59.72,340.40K,1.22%
2018-02-16,61.68,61.45,61.99,60.88,181.18K,0.55%
2018-02-18,61.72,61.51,61.74,61.51,,0.06%
2018-02-19,62.38,61.71,62.49,61.67,,1.07%
2018-02-20,61.9,61.63,62.74,61.58,50.21K,-0.77%
2018-02-21,61.68,61.63,61.86,60.92,466.92K,-0.36%
2018-02-22,62.77,61.34,63.09,60.75,592.60K,1.77%
2018-02-23,63.55,62.6,63.73,62.33,460.60K,1.24%
2018-02-26,63.91,63.6,64.24,63.06,469.85K,0.57%
2018-02-27,63.01,64.06,64.08,62.64,562.67K,-1.41%
2018-02-28,61.64,62.79,63.44,61.36,768.41K,-2.17%
2018-03-01,60.99,61.55,61.83,60.18,812.51K,-1.05%
2018-03-02,61.25,61.34,61.6,60.13,613.51K,0.43%
2018-03-05,62.57,61.55,62.79,61.1,599.27K,2.16%
2018-03-06,62.6,62.58,63.28,62.17,634.95K,0.05%
2018-03-07,61.15,62.3,62.58,60.58,879.12K,-2.32%
2018-03-08,60.12,61.33,61.4,59.95,720.51K,-1.68%
2018-03-09,62.04,60.27,62.18,60.14,659.72K,3.19%
2018-03-12,61.36,62.1,62.33,60.67,537.99K,-1.10%
2018-03-13,60.71,61.37,61.97,60.27,747.74K,-1.06%
2018-03-14,60.96,60.87,61.33,60.11,665.02K,0.41%
2018-03-15,61.19,60.95,61.54,60.82,430.20K,0.38%
2018-03-16,62.34,61.19,62.54,61.08,202.49K,1.88%
2018-03-19,62.06,62.23,62.35,61.36,115.96K,-0.45%
2018-03-20,63.4,62.1,63.81,62.08,36.06K,2.16%
2018-03-21,65.17,63.72,65.55,63.58,763.77K,2.79%
2018-03-22,64.3,65.5,65.74,64.14,689.17K,-1.33%
2018-03-23,65.88,64.28,66,64.11,752.99K,2.46%
2018-03-26,65.55,65.9,66.55,65.08,585.90K,-0.50%
2018-03-27,65.25,65.53,66.41,64.53,670.81K,-0.46%
2018-03-28,64.38,64.7,65.13,63.72,697.68K,-1.33%
2018-03-29,64.94,64.69,65.26,64.16,562.82K,0.87%
2018-04-02,63.01,64.91,65.42,62.8,582.74K,-2.97%
2018-04-03,63.51,62.89,63.86,62.86,527.29K,0.79%
2018-04-04,63.37,63.59,63.64,62.06,760.60K,-0.22%
2018-04-05,63.54,63.6,64.12,63.07,588.60K,0.27%
2018-04-06,62.06,63.7,63.79,61.81,753.26K,-2.33%
2018-04-09,63.42,62,63.61,61.93,655.83K,2.19%
2018-04-10,65.51,63.3,65.86,63.2,840.28K,3.30%
2018-04-11,66.82,65.59,67.45,65.15,963.02K,2.00%
2018-04-12,67.07,66.75,67.33,66,687.47K,0.37%
2018-04-13,67.39,67.18,67.76,66.7,624.20K,0.48%
2018-04-16,66.22,67.24,67.74,66.13,560.08K,-1.74%
2018-04-17,66.52,66.42,66.75,65.56,486.08K,0.45%
2018-04-18,68.47,66.68,68.91,66.56,221.66K,2.93%
2018-04-19,68.29,68.75,69.56,67.98,125.99K,-0.26%
2018-04-20,68.38,68.26,68.62,67.5,32.95K,0.13%
2018-04-23,68.64,68.22,69.03,67.14,740.94K,0.38%
2018-04-24,67.7,68.95,69.38,67.54,832.30K,-1.37%
2018-04-25,68.05,67.75,68.18,67.11,764.05K,0.52%
2018-04-26,68.19,68.03,68.78,67.71,660.55K,0.21%
2018-04-27,68.1,68.21,68.36,67.64,542.55K,-0.13%
2018-04-30,68.57,68.15,69.34,67.17,755.19K,0.69%
2018-05-01,67.25,68.56,68.9,66.85,694.77K,-1.93%
2018-05-02,67.93,67.49,68.14,66.92,789.37K,1.01%
2018-05-03,68.43,67.68,68.6,67.21,691.22K,0.74%
2018-05-04,69.72,68.5,69.97,68.12,690.88K,1.89%
2018-05-07,70.73,69.85,70.84,69.51,758.92K,1.45%
2018-05-08,69.06,70.03,70.4,67.63,1.25M,-2.36%
2018-05-09,71.14,70.05,71.36,69.85,863.39K,3.01%
2018-05-10,71.36,71.23,71.89,70.56,749.81K,0.31%
2018-05-11,70.7,71.45,71.63,70.45,634.15K,-0.92%
2018-05-14,70.96,70.54,71.26,70.26,592.83K,0.37%
2018-05-15,71.31,71.15,71.92,70.42,815.29K,0.49%
2018-05-16,71.49,71.02,71.59,70.66,574.28K,0.25%
2018-05-17,71.49,71.56,72.3,71.09,562.64K,0.00%
2018-05-18,71.28,71.6,71.75,70.99,211.79K,-0.29%
2018-05-21,72.24,71.47,72.59,71.25,119.89K,1.35%
2018-05-22,72.13,72.53,72.83,71.9,31.97K,-0.15%
2018-05-23,71.84,72.11,72.26,71.19,702.79K,-0.40%
2018-05-24,70.71,71.83,72,70.52,640.73K,-1.57%
2018-05-25,67.88,70.65,70.8,67.42,955.35K,-4.00%
2018-05-27,67.36,67.44,67.48,67.02,,-0.77%
