Date,Open,High,Low,Close,Adj Close,Volume
2022-09-23,111.239998,113.230003,111.080002,113.190002,113.190002,0
2022-09-25,null,null,null,null,null,null
2022-09-26,113.019997,114.529999,112.940002,114.099998,114.099998,0
2022-09-27,114.019997,114.470001,113.330002,114.110001,114.110001,0
2022-09-28,114.190002,114.779999,112.559998,112.599998,112.599998,0
2022-09-29,113.010002,113.790001,111.919998,112.250000,112.250000,0
2022-09-30,111.750000,112.669998,111.580002,112.120003,112.120003,0
2022-10-02,null,null,null,null,null,null
2022-10-03,112.169998,112.540001,111.470001,111.750000,111.750000,0
2022-10-04,111.589996,111.889999,110.059998,110.070000,110.070000,0
2022-10-05,110.230003,111.739998,110.089996,111.070000,111.070000,0
2022-10-06,111.019997,112.309998,110.779999,112.260002,112.260002,0
2022-10-07,112.250000,112.879997,111.949997,112.800003,112.800003,0
2022-10-09,null,null,null,null,null,null
2022-10-10,112.750000,113.330002,112.620003,113.139999,113.139999,0
2022-10-11,113.080002,113.500000,112.410004,113.220001,113.220001,0
2022-10-12,113.309998,113.589996,113.050003,113.320000,113.320000,0
2022-10-13,113.239998,113.919998,112.150002,112.360001,112.360001,0
2022-10-14,112.470001,113.419998,112.160004,113.309998,113.309998,0
2022-10-16,null,null,null,null,null,null
2022-10-17,113.220001,113.220001,111.919998,112.040001,112.040001,0
2022-10-18,112.070000,112.459999,111.769997,112.129997,112.129997,0
2022-10-19,111.919998,113.099998,111.919998,112.980003,112.980003,0
2022-10-20,112.989998,113.089996,112.169998,112.879997,112.879997,0
2022-10-21,112.940002,113.940002,111.699997,112.010002,112.010002,0
2022-10-23,null,null,null,null,null,null
2022-10-24,111.879997,112.529999,111.470001,111.989998,111.989998,0
2022-10-25,111.820000,112.129997,110.760002,110.949997,110.949997,0
2022-10-26,110.959999,111.139999,109.629997,109.699997,109.699997,0
2022-10-27,109.620003,110.620003,109.540001,110.589996,110.589996,0
2022-10-28,110.500000,111.040001,110.290001,110.669998,110.669998,0
2022-10-30,null,null,null,null,null,null
2022-10-31,110.669998,111.669998,110.669998,111.529999,111.529999,0
2022-11-01,111.519997,111.779999,110.720001,111.480003,111.480003,0
2022-11-02,111.540001,112.150002,110.430000,111.349998,111.349998,0
2022-11-03,112.169998,113.150002,111.820000,112.930000,112.930000,0
2022-11-04,112.970001,112.989998,110.720001,110.879997,110.879997,0
2022-11-06,null,null,null,null,null,null
2022-11-07,110.790001,111.269997,110.050003,110.120003,110.120003,0
2022-11-08,110.059998,110.610001,109.370003,109.620003,109.620003,0
2022-11-09,109.650002,110.639999,109.449997,110.550003,110.550003,0
2022-11-10,110.300003,110.989998,107.709999,108.209999,108.209999,0
2022-11-11,108.239998,108.440002,106.279999,106.290001,106.290001,0
2022-11-13,null,null,null,null,null,null
2022-11-14,106.480003,107.269997,106.480003,106.660004,106.660004,0
2022-11-15,107.000000,107.099998,105.339996,106.400002,106.400002,0
2022-11-16,106.580002,106.779999,105.860001,106.279999,106.279999,0
2022-11-17,106.269997,107.239998,106.099998,106.690002,106.690002,0
2022-11-18,106.690002,107.040001,106.339996,106.930000,106.930000,0
2022-11-20,null,null,null,null,null,null
2022-11-21,106.970001,107.989998,106.889999,107.839996,107.839996,0
2022-11-22,107.699997,107.750000,107.120003,107.220001,107.220001,0
2022-11-23,107.080002,107.220001,106.029999,106.080002,106.080002,0
2022-11-25,105.959999,106.419998,105.690002,105.959999,105.959999,0
2022-11-27,null,null,null,null,null,null
2022-11-28,106.059998,106.750000,105.320000,106.680000,106.680000,0
2022-11-29,106.570000,106.879997,106.059998,106.820000,106.820000,0
2022-11-30,106.720001,107.199997,105.779999,105.949997,105.949997,0
2022-12-01,105.699997,105.900002,104.660004,104.730003,104.730003,0
