Date,GoogleTrend
2018.1.1,45
2018.1.2,53
2018.1.3,55
2018.1.4,54
2018.1.5,52
2018.1.6,49
2018.1.7,46
2018.1.8,52
2018.1.9,49
2018.1.10,51
2018.1.11,56
2018.1.12,47
2018.1.13,41
2018.1.14,39
2018.1.15,40
2018.1.16,72
2018.1.17,100
2018.1.18,72
2018.1.19,49
2018.1.20,43
2018.1.21,40
2018.1.22,46
2018.1.23,43
2018.1.24,41
2018.1.25,39
2018.1.26,42
2018.1.27,36
2018.1.28,33
2018.1.29,33
2018.1.30,38
2018.1.31,39
2018.2.1,50
2018.2.2,66
2018.2.3,41
2018.2.4,38
2018.2.5,63
2018.2.6,79
2018.2.7,51
2018.2.8,44
2018.2.9,35
2018.2.10,34
2018.2.11,29
2018.2.12,31
2018.2.13,29
2018.2.14,29
2018.2.15,32
2018.2.16,27
2018.2.17,27
2018.2.18,27
2018.2.19,27
2018.2.20,29
2018.2.21,29
2018.2.22,26
2018.2.23,23
2018.2.24,21
2018.2.25,21
2018.2.26,22
2018.2.27,23
2018.2.28,20
2018.3.1,20
2018.3.2,20
2018.3.3,19
2018.3.4,17
2018.3.5,19
2018.3.6,19
2018.3.7,22
2018.3.8,21
2018.3.9,26
2018.3.10,19
2018.3.11,18
2018.3.12,20
2018.3.13,18
2018.3.14,22
2018.3.15,24
2018.3.16,21
2018.3.17,18
2018.3.18,22
2018.3.19,21
2018.3.20,20
2018.3.21,19
2018.3.22,19
2018.3.23,17
2018.3.24,15
2018.3.25,15
2018.3.26,20
2018.3.27,17
2018.3.28,17
2018.3.29,21
2018.3.30,24
2018.3.31,17
2018.4.1,19
2018.4.2,19
2018.4.3,19
2018.4.4,17
2018.4.5,18
2018.4.6,20
2018.4.7,15
2018.4.8,15
2018.4.9,17
2018.4.10,16
2018.4.11,16
2018.4.12,19
2018.4.13,19
2018.4.14,16
2018.4.15,14
2018.4.16,16
2018.4.17,15
2018.4.18,16
2018.4.19,15
2018.4.20,16
2018.4.21,15
2018.4.22,14
2018.4.23,15
2018.4.24,19
2018.4.25,18
2018.4.26,15
2018.4.27,15
2018.4.28,13
2018.4.29,13
2018.4.30,14
2018.5.1,13
2018.5.2,13
2018.5.3,14
2018.5.4,14
2018.5.5,14
2018.5.6,13
2018.5.7,14
2018.5.8,14
2018.5.9,13
2018.5.10,13
2018.5.11,15
2018.5.12,12
2018.5.13,12
2018.5.14,14
2018.5.15,12
2018.5.16,13
2018.5.17,12
2018.5.18,12
2018.5.19,11
2018.5.20,11
2018.5.21,12
2018.5.22,12
2018.5.23,14
2018.5.24,14
2018.5.25,13
2018.5.26,11
2018.5.27,11
2018.5.28,12
2018.5.29,12
2018.5.30,12
2018.5.31,12
2018.6.1,11
2018.6.2,10
2018.6.3,11
2018.6.4,11
2018.6.5,11
2018.6.6,11
2018.6.7,10
2018.6.8,10
2018.6.9,9
2018.6.10,12
2018.6.11,16
2018.6.12,13
2018.6.13,14
2018.6.14,14
2018.6.15,11
2018.6.16,10
2018.6.17,10
2018.6.18,11
2018.6.19,11
2018.6.20,11
2018.6.21,11
2018.6.22,13
2018.6.23,12
2018.6.24,13
2018.6.25,11
2018.6.26,11
2018.6.27,10
2018.6.28,11
2018.6.29,13
2018.6.30,12
2018.7.1,10
2018.7.2,12
2018.7.3,12
2018.7.4,11
2018.7.5,11
2018.7.6,10
2018.7.7,9
2018.7.8,10
2018.7.9,10
2018.7.10,10
2018.7.11,10
2018.7.12,10
2018.7.13,10
2018.7.14,9
2018.7.15,9
2018.7.16,11
2018.7.17,13
2018.7.18,17
2018.7.19,13
2018.7.20,12
2018.7.21,10
2018.7.22,10
2018.7.23,12
2018.7.24,16
2018.7.25,15
2018.7.26,14
2018.7.27,13
2018.7.28,11
2018.7.29,11
2018.7.30,11
2018.7.31,12
2018.8.1,12
2018.8.2,11
2018.8.3,11
2018.8.4,11
2018.8.5,11
2018.8.6,11
