prices,market_caps,total_volumes
29162.98157565876,567227160680.0332,12531537402.696934
29094.510902773116,566006441053.9767,12617906881.84831
29121.76890899781,566006441053.9767,12313701564.17088
29159.76399789489,566887911772.2646,12371117239.383081
29178.745455204324,566887911772.2646,12225879636.017702
29143.26752319463,566887911772.2646,12314594814.600134
29130.027879436428,566494844825.8984,9030097145.273268
29158.89064520027,566489260474.931,11543928146.855276
29151.006244733246,566489260474.931,11996284865.384573
29164.43474960361,566982803576.5702,10057116627.291683
29158.399658851977,566982803576.5702,11630545701.590422
29141.904468038567,566982803576.5702,11758706552.479807
29137.245999625848,566509407302.1437,10438247889.040304
29120.613760479966,566134772889.1785,11702030291.962458
29129.65022499594,566134772889.1785,11335459795.54014
29122.584430669744,566141896848.2896,11388635580.423979
29155.348160823945,566141896848.2896,9979242466.059677
29162.643738924708,566960161334.3046,8908561999.71591
29165.559303092046,566960161334.3046,8782024226.169964
29161.93898128565,566960161334.3046,9535795926.482347
29169.599737489832,566910749043.2189,9576793470.87644
29154.793511479627,566910749043.2189,11582004419.38753
29156.69055047275,566910749043.2189,9029213827.649017
29155.630055044963,566820110838.6042,8497866910.544648
29153.206213663037,566748091776.2004,9023915999.97594
29153.66154550368,566803400246.5312,11218029243.049833
29154.121921656184,566803400246.5312,7240948492.085492
29145.249981560133,566775221086.986,10647644209.53953
29148.53486671651,566775221086.986,10622000367.0735
29146.414472358578,566775221086.986,10416905903.11229
29147.940923463022,566746805277.3046,10741419031.692305
29151.662676612363,566732194500.6473,10756236814.240683
29152.58313360962,566732194500.6473,8774314180.656536
29154.287798557416,566732194500.6473,8866173124.236622
29177.382078846655,567011863962.6349,10704093304.342102
29167.115373777284,567011863962.6349,10605595157.60304
29180.195222196373,567029471208.3279,6515770576.313616
29170.65301642542,567291430073.3556,10366627668.93796
29173.812551241055,567291430073.3556,10467061107.897423
29222.02929398105,568101099288.7295,10579952947.526333
29189.959274687582,568101099288.7295,10374471299.414236
